id;bin_label;newick;organism
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Trave1
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Dicsqu18370
9;terpene;"(((((158:0.11094,5344:0.05560):0.05904,132:0.00000)0.97:0.05151,3866:0.05116)1.00:0.03373,2532:0.12553)0.55:0.56803,9471:0.82323):0.00000;";Trabet1
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Ganluc1
8;terpene;"(8262:1.12675,((8756:0.03323,7172:0.04738)0.96:0.07229,(((2896:0.32795,8467:0.08608)0.95:0.03869,8952:0.07176)0.36:0.02109,6109:0.12554):0.02778)0.86:0.35562):0.00000;";Pycco1
8;terpene;"(8262:1.12675,((8756:0.03323,7172:0.04738)0.96:0.07229,(((2896:0.32795,8467:0.08608)0.95:0.03869,8952:0.07176)0.36:0.02109,6109:0.12554):0.02778)0.86:0.35562):0.00000;";Tramen1
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Traver1
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Dicsqu463
6;terpene;"(((4306:0.05443,6037:0.04430)1.00:0.08364,(7753:0.00290,5:0.00000)1.00:0.10196)1.00:0.16611,((2960:0.20697,1141:0.04573)1.00:0.07438,((7376:0.00108,4599:0.00072)1.00:0.09069,7813:0.18707):0.07225)1.00:0.02284):0.00000;";Tralj1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Earsca1
8;terpene;"(8262:1.12675,((8756:0.03323,7172:0.04738)0.96:0.07229,(((2896:0.32795,8467:0.08608)0.95:0.03869,8952:0.07176)0.36:0.02109,6109:0.12554):0.02778)0.86:0.35562):0.00000;";Pycpun1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Dicsq1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Dicsqu463
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Polar1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Dicsqu464
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Dicsqu18370
9;terpene;"(((((158:0.11094,5344:0.05560):0.05904,132:0.00000)0.97:0.05151,3866:0.05116)1.00:0.03373,2532:0.12553)0.55:0.56803,9471:0.82323):0.00000;";Tragib1
9;terpene;"(((((158:0.11094,5344:0.05560):0.05904,132:0.00000)0.97:0.05151,3866:0.05116)1.00:0.03373,2532:0.12553)0.55:0.56803,9471:0.82323):0.00000;";Artele1122
9;terpene;"(((((158:0.11094,5344:0.05560):0.05904,132:0.00000)0.97:0.05151,3866:0.05116)1.00:0.03373,2532:0.12553)0.55:0.56803,9471:0.82323):0.00000;";Trapol1
9;terpene;"(((((158:0.11094,5344:0.05560):0.05904,132:0.00000)0.97:0.05151,3866:0.05116)1.00:0.03373,2532:0.12553)0.55:0.56803,9471:0.82323):0.00000;";Trabet1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Tramen1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Tralj1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Tralac1
8;terpene;"(8262:1.12675,((8756:0.03323,7172:0.04738)0.96:0.07229,(((2896:0.32795,8467:0.08608)0.95:0.03869,8952:0.07176)0.36:0.02109,6109:0.12554):0.02778)0.86:0.35562):0.00000;";Traver1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Polsqu1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Tramax1
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Lenti7
10;terpene;"(((3300:0.10882,6371:0.06617)0.86:0.02136,(7079:0.02226,5408:0.00796)1.00:0.06104)1.00:0.04627,((((6195:0.02765,1454:0.03707)0.97:0.01548,(6053:0.00000,5972:0.00000)1.00:0.03978)1.00:0.05609,8141:0.13288)0.89:0.02678,(8660:0.00085,(73:0.00174,(6967:0.00000,328:0.00261):0.00000)0.93:0.00089)0.76:0.08008)1.00:0.01679):0.00000;";Lenti6
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Polsqu1
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Dicsqu464
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Lenti7
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Ganbon1
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Dicsqu463
7;terpene;"((((1980:0.11185,3595:0.05632)0.81:0.01538,2238:0.06797)1.00:0.05610,(4422:0.00148,(5065:0.00352,(4997:0.00057,1214:0.00000):0.00766)1.00:0.00333)0.78:0.10664)1.00:0.03509,((6577:0.02687,1976:0.05679)1.00:0.04763,1069:0.05012)1.00:0.11400):0.00000;";Lenti6
8;terpene;"(8262:1.12675,((8756:0.03323,7172:0.04738)0.96:0.07229,(((2896:0.32795,8467:0.08608)0.95:0.03869,8952:0.07176)0.36:0.02109,6109:0.12554):0.02778)0.86:0.35562):0.00000;";Tralj1
8;terpene;"(8262:1.12675,((8756:0.03323,7172:0.04738)0.96:0.07229,(((2896:0.32795,8467:0.08608)0.95:0.03869,8952:0.07176)0.36:0.02109,6109:0.12554):0.02778)0.86:0.35562):0.00000;";Tralac1
9;terpene;"(((((158:0.11094,5344:0.05560):0.05904,132:0.00000)0.97:0.05151,3866:0.05116)1.00:0.03373,2532:0.12553)0.55:0.56803,9471:0.82323):0.00000;";Porspa1
11;terpene;"(9:0.0,5504:0.0):0.01;";Hydfim1
11;terpene;"(9:0.0,5504:0.0):0.01;";Irplac1
12;terpene;"(((((((1674:0.23963,4004:0.02040)0.92:0.01824,(((8366:0.05141,112:0.02984)0.70:0.00807,(5488:0.00000,2113:0.00000)1.00:0.03662)0.88:0.01157,7200:0.02722)0.86:0.00881)0.84:0.00833,7208:0.06943):0.00884,9231:0.04996)0.27:0.01196,(3511:0.07966,3830:0.19079)0.60:0.00984)0.87:0.02599,((2412:0.07939,(8920:0.04821,((7168:0.00271,(9303:0.00000,7356:0.00000,4961:0.00000):0.00264)0.96:0.02542,(((724:0.02071,5496:0.04830)0.84:0.00878,1238:0.00911)0.99:0.04168,3072:0.01453)1.00:0.06687)0.97:0.03417)0.95:0.03204)0.63:0.01664,((8572:0.04298,4280:0.05945)0.46:0.00982,((4835:0.03878,1380:0.03619)0.88:0.01983,(8190:0.00000,4559:0.00000):0.04245)1.00:0.08395)0.75:0.00682)0.91:0.02102)0.95:0.07927,((((29:0.05642,(4539:0.05458,(((5291:0.03897,2440:0.04068)0.86:0.02047,2424:0.02946)0.81:0.02391,7809:0.04304)0.98:0.03828)0.53:0.01859)0.63:0.01652,9036:0.08392)0.97:0.04480,828:0.08878)0.62:0.02107,((6649:0.03231,568:0.08478)0.99:0.07827,2600:0.07930)1.00:0.14406)1.00:0.08514):0.00000;";Fibra1
12;terpene;"(((((((1674:0.23963,4004:0.02040)0.92:0.01824,(((8366:0.05141,112:0.02984)0.70:0.00807,(5488:0.00000,2113:0.00000)1.00:0.03662)0.88:0.01157,7200:0.02722)0.86:0.00881)0.84:0.00833,7208:0.06943):0.00884,9231:0.04996)0.27:0.01196,(3511:0.07966,3830:0.19079)0.60:0.00984)0.87:0.02599,((2412:0.07939,(8920:0.04821,((7168:0.00271,(9303:0.00000,7356:0.00000,4961:0.00000):0.00264)0.96:0.02542,(((724:0.02071,5496:0.04830)0.84:0.00878,1238:0.00911)0.99:0.04168,3072:0.01453)1.00:0.06687)0.97:0.03417)0.95:0.03204)0.63:0.01664,((8572:0.04298,4280:0.05945)0.46:0.00982,((4835:0.03878,1380:0.03619)0.88:0.01983,(8190:0.00000,4559:0.00000):0.04245)1.00:0.08395)0.75:0.00682)0.91:0.02102)0.95:0.07927,((((29:0.05642,(4539:0.05458,(((5291:0.03897,2440:0.04068)0.86:0.02047,2424:0.02946)0.81:0.02391,7809:0.04304)0.98:0.03828)0.53:0.01859)0.63:0.01652,9036:0.08392)0.97:0.04480,828:0.08878)0.62:0.02107,((6649:0.03231,568:0.08478)0.99:0.07827,2600:0.07930)1.00:0.14406)1.00:0.08514):0.00000;";Obbri1
12;terpene;"(((((((1674:0.23963,4004:0.02040)0.92:0.01824,(((8366:0.05141,112:0.02984)0.70:0.00807,(5488:0.00000,2113:0.00000)1.00:0.03662)0.88:0.01157,7200:0.02722)0.86:0.00881)0.84:0.00833,7208:0.06943):0.00884,9231:0.04996)0.27:0.01196,(3511:0.07966,3830:0.19079)0.60:0.00984)0.87:0.02599,((2412:0.07939,(8920:0.04821,((7168:0.00271,(9303:0.00000,7356:0.00000,4961:0.00000):0.00264)0.96:0.02542,(((724:0.02071,5496:0.04830)0.84:0.00878,1238:0.00911)0.99:0.04168,3072:0.01453)1.00:0.06687)0.97:0.03417)0.95:0.03204)0.63:0.01664,((8572:0.04298,4280:0.05945)0.46:0.00982,((4835:0.03878,1380:0.03619)0.88:0.01983,(8190:0.00000,4559:0.00000):0.04245)1.00:0.08395)0.75:0.00682)0.91:0.02102)0.95:0.07927,((((29:0.05642,(4539:0.05458,(((5291:0.03897,2440:0.04068)0.86:0.02047,2424:0.02946)0.81:0.02391,7809:0.04304)0.98:0.03828)0.53:0.01859)0.63:0.01652,9036:0.08392)0.97:0.04480,828:0.08878)0.62:0.02107,((6649:0.03231,568:0.08478)0.99:0.07827,2600:0.07930)1.00:0.14406)1.00:0.08514):0.00000;";Fomros1
12;terpene;"(((((((1674:0.23963,4004:0.02040)0.92:0.01824,(((8366:0.05141,112:0.02984)0.70:0.00807,(5488:0.00000,2113:0.00000)1.00:0.03662)0.88:0.01157,7200:0.02722)0.86:0.00881)0.84:0.00833,7208:0.06943):0.00884,9231:0.04996)0.27:0.01196,(3511:0.07966,3830:0.19079)0.60:0.00984)0.87:0.02599,((2412:0.07939,(8920:0.04821,((7168:0.00271,(9303:0.00000,7356:0.00000,4961:0.00000):0.00264)0.96:0.02542,(((724:0.02071,5496:0.04830)0.84:0.00878,1238:0.00911)0.99:0.04168,3072:0.01453)1.00:0.06687)0.97:0.03417)0.95:0.03204)0.63:0.01664,((8572:0.04298,4280:0.05945)0.46:0.00982,((4835:0.03878,1380:0.03619)0.88:0.01983,(8190:0.00000,4559:0.00000):0.04245)1.00:0.08395)0.75:0.00682)0.91:0.02102)0.95:0.07927,((((29:0.05642,(4539:0.05458,(((5291:0.03897,2440:0.04068)0.86:0.02047,2424:0.02946)0.81:0.02391,7809:0.04304)0.98:0.03828)0.53:0.01859)0.63:0.01652,9036:0.08392)0.97:0.04480,828:0.08878)0.62:0.02107,((6649:0.03231,568:0.08478)0.99:0.07827,2600:0.07930)1.00:0.14406)1.00:0.08514):0.00000;";PosplRSB12
